Feature,F_Score,RF_Importance
Intensity_Score,3502.84991260183,0.07790056616952695
Gender_encoded,1.2698285253925068,0.0007807102108189246
Avg_BPM,3.1755257313737784,0.006611732452278737
Height_m,0.4014229910455736,0.006797508335654435
Weight_kg,7.565786242128006,0.009859547289993052
Total_Weekly_Duration,647.181506203228,0.007322811376035145
Hydration_per_hour,631.3826999927606,0.004987184887049416
Fat_Percentage,1.2539035664889928,0.007410608257168882
Workout_Frequency_days,1.713552851277885,0.0012179346505156686
Weight_Height_Ratio,5.517564488353622,0.00582528517065272
Age_BMI_interaction,2.9797124915610573,0.00751171034427288
Session_Duration_hours,4367.741278918932,0.8073237949341593
BMI,3.3268471662286756,0.0031518928411685453
Water_Intake_liters,2.8423997608823957,0.0055795225763012124
Experience_Level,10.761724213281587,0.016857913989542832
Resting_BPM,0.5631769358838927,0.005849430677946417
